product_code,product_name,variant_label,category,price_eur,description,available,sold_out,product_url
USW-Pro-HD-24-PoE (600W),Pro HD 24 PoE,,Switching,952.00,"Professional-grade, Layer 3 Etherlighting™ switch with (2) 10 GbE PoE++, (22) 2.5 GbE PoE++, and (4) 10G SFP+ ports.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-hd-24-poe
USW-Pro-48-POE (600W),Pro 48 PoE,,Switching,1047.00,"A 48-port, Layer 3 switch capable of high-power PoE++ output.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional/products/usw-pro-48-poe
USW-Pro-24-POE (400W),Pro 24 PoE,,Switching,666.00,"A 24-port, Layer 3 switch capable of high-power PoE++ output.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional/products/usw-pro-24-poe
ECS-48-PoE (2150W),Enterprise Campus 48 PoE,,Switching,3334.00,"Enterprise-grade 48-port, Layer 3 Etherlighting™ PoE+++ switch with high-capacity 10 GbE RJ45 and 25G SFP28 connections for high availability system design.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-enterprise/collections/enterprise-campus/products/ecs-48-poe
ECS-24-PoE (1050W),Enterprise Campus 24 PoE,,Switching,2381.00,"Enterprise-grade 24-port, Layer 3 Etherlighting™ PoE+++ switch with high-capacity 10 GbE RJ45 and 25G SFP28 connections for high availability system design.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-enterprise/collections/enterprise-campus/products/ecs-24-poe
EAV-XG-24-PoE (2150W),Enterprise Audio/Video XG 24 PoE,,Switching,3599.00,"Enterprise Audio/Video switch with (24) 10G PoE+++ ports and (4) 100G QSFP28 uplinks. Supports PTP timing, SMPTE ST 2110, SDVoE, and AES67 audio, with a high-precision OCXO clock and optional GPS grandmaster input (SMA) for deterministic media syncing.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-enterprise/collections/enterprise-audiovideo/products/eav-xg-24-poe
EAV-Fiber,Enterprise Audio/Video Fiber,,Switching,2699.00,"Enterprise Audio/Video switch with (20) 10G SFP+ and (2) 100G QSFP28 uplinks. Supports PTP timing, SMPTE ST 2110, SDVoE, and AES67 audio, with a high-precision OCXO clock and optional GPS grandmaster input (SMA) for deterministic media syncing.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-enterprise/collections/enterprise-audiovideo/products/eav-fiber
USW-48-POE (195W),Standard 48 PoE,,Switching,561.00,"A 48-port, Layer 2 PoE switch with a silent, fanless cooling system.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-standard/products/usw-48-poe
USW-24-POE (95W),Standard 24 PoE,,Switching,360.00,"A 24-port, Layer 2 PoE switch with a fanless cooling system.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-standard/products/usw-24-poe
USW-16-POE (42W),Standard 16 PoE,,Switching,284.00,"A 16-port, Layer 2 PoE switch with a silent, fanless cooling system.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-standard/products/usw-16-poe
USW-Pro-XG-48,Pro XG 48,,Switching,1905.00,"Professional-grade, 48-port Layer 3 Etherlighting™ switch with (32) 10 GbE, (16) 2.5 GbE, and (4) 25G SFP28 ports.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-xg-48
USW-Pro-XG-24,Pro XG 24,,Switching,1047.00,"Professional-grade, 24-port Layer 3 Etherlighting™ switch with (16) 10 GbE, (8) 2.5 GbE, and (2) 25G SFP28 ports.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-xg-24
ECS-Aggregation,Enterprise Campus Aggregation,,Switching,3811.00,1.8 Tbps high-density 100G/25G Layer 3 Etherlighting™ aggregation switch with MC-LAG support for high availability system design.,Oui,Non,https://eu.store.ui.com/eu/en/category/switching-enterprise/collections/enterprise-campus-aggregation/products/ecs-aggregation
USW-Pro-XG-Aggregation,Pro XG Aggregation,,Switching,2381.00,"Professional-grade 32-port, Layer 3 Etherlighting™ switch for high-capacity 25G SFP28 connections.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-aggregation/products/usw-pro-xg-aggregation
USW-Aggregation,Aggregation,,Switching,254.00,"An 8-port, Layer 2 switch made for 10G SFP+ connections.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-aggregation/products/usw-aggregation
USW-WAN,WAN Switch,,Switching,238.00,10G SFP+ WAN Switch linking two Shadow Mode High Availability UniFi Gateways to a single ISP.,Oui,Non,https://eu.store.ui.com/eu/en/category/switching-wan/products/usw-wan
USW-WAN-RJ45,WAN Switch RJ45,,Switching,238.00,10 GbE WAN Switch linking two Shadow Mode High Availability UniFi Gateways to a single ISP.,Oui,Non,https://eu.store.ui.com/eu/en/category/switching-wan/products/usw-wan-rj45
USW-Pro-XG-10-PoE (400W),Pro XG 10 PoE,,Switching,666.00,"1U, professional-grade 10-port, Layer 3 Etherlighting™ PoE+++ switch with (10) 10 GbE and (2) 10G SFP+ ports.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-xg-10-poe
USW-Lite-16-POE (45W),Lite 16 PoE,,Switching,189.00,"A wall-mountable, 16-port, Layer 2 PoE switch with a fanless cooling system.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-lite-16-poe
USW-Lite-8-POE (52W),Lite 8 PoE,,Switching,104.00,"An 8-port, Layer 2 PoE switch supporting silent fanless cooling.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-lite-8-poe
USW-Pro-Max-16-PoE (180W),Pro Max 16 PoE,,Switching,380.00,"A 16-port, Layer 3 Etherlighting™ switch with 2.5 GbE, PoE++ output, and versatile mounting options.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-max-16-poe
USW-Pro-XG-8-PoE (155W),Pro XG 8 PoE,,Switching,475.00,"Compact desktop/wall-mountable, professional-grade 8-port, Layer 3 Etherlighting™ PoE++ switch with (8) 10 GbE and (2) 10G SFP+ ports.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-pro-xg-8-poe
USW-Enterprise-8-PoE (120W),Enterprise 8 PoE (Vintage),,Switching,455.00,"An 8-port, Layer 3 switch with 2.5 GbE PoE+ output.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-enterprise-8-poe
USW-Pro-8-PoE (120W),Pro 8 PoE,,Switching,284.00,"An 8-port, Layer 3 switch with PoE+ and PoE++ output.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-pro-8-poe
Product Collection,Ultra,,Switching,195.00,"A compact, Layer 2, 8-port GbE PoE switch with versatile mounting options.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/collections/pro-ultra
USW-Flex-2.5G-8-PoE (196W),Flex 2.5G PoE,,Switching,189.00,"Flexible, 8-port 2.5 GbE PoE++ switch with a 10 GbE RJ45/SFP+ combination uplink port that can be powered with PoE+++ or an AC power adapter.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-flex-2-5g-8-poe
USW-Flex-2.5G-8,Flex 2.5G,,Switching,153.00,"Flexible, 8-port 2.5 GbE switch with a 10 GbE RJ45/SFP+ combination uplink port that can be powered with a USB-C or PoE+ adapter.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-flex-2-5g-8
USW-Flex-2.5G-5,Flex Mini 2.5G,,Switching,47.00,"Compact, 5-port 2.5G switch that can be powered with PoE or a USB-C adapter.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-flex-2-5g-5
USW-Flex-Mini,Flex Mini,,Switching,26.00,"A compact, 5-port, Layer 2 switch that can be powered with PoE or a 5V USB-C adapter.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-flex-mini
USW-Flex (46W),Flex,,Switching,94.00,"Flexible 5-port, Layer 2 PoE switch for indoor and outdoor use, that can be powered with PoE++.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-flex
USW-Flex-Utility,Flex Utility,,Switching,45.00,The Switch Flex Utility is an outdoor weatherproof enclosure designed for use with the Switch Flex.,Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-flexutility
UACC-Flex-Utility-Pro,Flex Utility Pro,,Switching,55.00,"A universal outdoor weatherproof enclosure. Protect your networking gear in any environment with this versatile, durable enclosure, designed for both wall and pole mounting.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/uacc-flex-utility-pro
USW-Flex-XG,Flex 10 GbE,,Switching,285.00,"A compact, 5-port, Layer 2 switch that supports 10 GbE speeds and can be powered with PoE or a 5V USB-C adapter.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-utility/products/usw-flex-xg
USW-Pro-HD-24,Pro HD 24,,Switching,570.00,"Professional-grade, Layer 3 Etherlighting™ switch with (2) 10 GbE, (22) 2.5 GbE, and (4) 10G SFP+ ports.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-hd-24
USW-Pro-Max-48,Pro Max 48,,Switching,634.00,"A 48-port, Layer 3 Etherlighting™ switch with 2.5 GbE.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-max-48
USW-Pro-Max-24,Pro Max 24,,Switching,428.00,"A 24-port, Layer 3 Etherlighting™ switch with 2.5 GbE.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-max-24
USW-Pro-Max-16,Pro Max 16,,Switching,264.00,"A 16-port, Layer 3 Etherlighting™ switch 2.5 GbE and versatile mounting options.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-max-16
USW-Pro-48,Pro 48,,Switching,570.00,"A 48-port, Layer 3 switch supporting 10G SFP+ connections with fanless cooling.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional/products/usw-pro-48
USW-Pro-24,Pro 24,,Switching,380.00,"A 24-port, Layer 3 switch supporting 10G SFP+ connections with fanless cooling.",Non,Oui,https://eu.store.ui.com/eu/en/category/switching-professional/products/usw-pro-24
USW-48,Standard 48,,Switching,380.00,"A 48-port, Layer 2 switch with a silent, fanless cooling system.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-standard/products/usw-48
USW-24,Standard 24,,Switching,211.00,"A 24-port, Layer 2 switch with a silent, fanless cooling system.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-standard/products/usw-24
USW-Mission-Critical (120W),UPS PoE Switch,,Switching,979.00,A switch with an integrated 368Wh lithium-ion battery capable of providing uninterruptible PoE to 8 devices.,Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional/products/usw-mission-critical-eu
USW-Pro-Aggregation,Hi-Capacity Aggregation,,Switching,856.00,"A 32-port, Layer 3 switch made for high-capacity 10G SFP+ and 25G SFP28 connections.",Non,Oui,https://eu.store.ui.com/eu/en/category/switching-aggregation/products/usw-pro-aggregation
ECS-48S-PoE (2150W),Enterprise Campus 48S PoE,,Switching,3599.00,"Enterprise-grade 48-port, Layer 3 Etherlighting™ PoE+++ switch with Stacking support and high-capacity 10 GbE RJ45 and 25G SFP28 connections for high availability system design.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-enterprise/collections/enterprise-campus-stackable/products/ecs-48s-poe
ECS-24S-PoE (1050W),Enterprise Campus 24S PoE,,Switching,2699.00,"Enterprise-grade 24-port, Layer 3 Etherlighting™ PoE+++ switch with Stacking support and high-capacity 10 GbE RJ45 and 25G SFP28 connections for high availability system design.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-enterprise/collections/enterprise-campus-stackable/products/ecs-24s-poe
E7,E7,,WiFi,475.00,"Enterprise-grade indoor access point with 10-stream WiFi 7 performance, a 10 GbE uplink, and a redundant GbE port for high availability.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-enterprise/products/e7
E7-Audience,E7 Audience,,WiFi,1905.00,"Enterprise-grade indoor access point designed for high-density environments with 12-stream 5 GHz and 6 GHz WiFi 7 performance, a 10 GbE uplink, and a redundant GbE port for high availability.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-mega-capacity/products/e7-audience
E7-Campus,E7 Campus,,WiFi,761.00,"Enterprise-grade indoor/outdoor access point with 10-stream dual-band WiFi 7 performance, PRISM™ active RF filtering technology, integrated directional antennas, a 10 GbE uplink, and a redundant GbE port for high availability.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-enterprise/products/e7-campus
U7-Pro-XGS-B,U7 Pro XGS,,WiFi,284.00,Ceiling-mounted 8-stream WiFi 7 AP with dedicated spectral scanning radio and 10/5/2.5/1 GbE support.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u7-pro-xgs
U7-Pro-XG-B,U7 Pro XG,,WiFi,189.00,Ceiling-mounted 6-stream WiFi 7 AP with 10/5/2.5/1 GbE support.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u7-pro-xg
U7-Pro-Max,U7 Pro Max,,WiFi,264.00,"Ceiling-mounted WiFi 7 AP with 8 spatial streams, 6 GHz support, and a dedicated spectral scanning engine for interference-free WiFi in demanding, large-scale environments.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u7-pro-max
U7-Pro,U7 Pro,,WiFi,169.00,"Ceiling-mounted WiFi 7 AP with 6 spatial streams and 6 GHz support for interference-free WiFi in demanding, large-scale environments.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u7-pro
U7-LR,U7 Long-Range,,WiFi,153.00,"Compact, ceiling-mount WiFi 7 AP with 5 spatial streams and extended signal range.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u7-lr
U7-Lite,U7 Lite,,WiFi,94.00,"Compact, ceiling-mounted WiFi 7 AP with 4 spatial streams and 2.5 GbE uplink.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u7-lite
U7-Pro-XG-Wall,U7 Pro XG Wall,,WiFi,264.00,Wall-mounted 6 GHz-ready WiFi 7 AP with 1/2.5/5/10 GbE support.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-wall/products/u7-pro-xg-wall
U7-Pro-Wall,U7 Pro Wall,,WiFi,195.00,Wall-mounted WiFi 7 AP with 6 spatial streams and 6 GHz support tailored for home builders with seamless installation options.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-wall/products/u7-pro-wall
U7-IW,U7 In-Wall,,WiFi,142.00,Wall-mounted WiFi‎ 7 AP with 4 spatial streams and an integrated 2.5 GbE PoE switch designed for hospitality environments.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-wall/products/u7-iw
U7-Pro-Outdoor,U7 Pro Outdoor,,WiFi,264.00,"All-weather IP67 WiFi 7 AP with 6 spatial streams, integrated directional super antenna, and articulation mounting bracket.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-outdoor/products/u7-pro-outdoor
U7-Outdoor,U7 Outdoor,,WiFi,195.00,"All-weather WiFi 7 AP with 4 spatial streams, an integrated directional super antenna, and versatile mounting options.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-outdoor/products/u7-outdoor
U7-Mesh,U7 Mesh,,WiFi,179.00,Compact indoor/outdoor WiFi 7 AP with integrated long-range antenna system.,Non,Oui,https://eu.store.ui.com/eu/en/category/wifi-outdoor/products/u7-mesh
U6-Enterprise,U6 Enterprise,,WiFi,264.00,"Ceiling-mounted WiFi 6E AP with 10 spatial streams and 6 GHz support to provide seamless, multi-band coverage within high client density environments.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u6-enterprise
U6-Enterprise-IW,U6 Enterprise In-Wall,,WiFi,284.00,"Wall-mounted WiFi 6E AP with 10 spatial streams, 6 GHz support, and a built-in 4-port switch. Designed for high-density office networks.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-wall/products/u6-enterprise-iw
U6-Pro,U6 Pro,,WiFi,153.00,Ceiling-mounted WiFi 6 AP with 6 spatial streams designed for large offices.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u6-pro
U6+,U6+,,WiFi,94.00,"Compact, ceiling-mounted WiFi 6 AP with 4 spatial streams that improves upon the U6 Lite with higher performance and dual-band WiFi 6 support. Ideal for small and medium-sized businesses.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/u6-plus
U6-Mesh,U6 Mesh,,WiFi,169.00,"Sleek, indoor/outdoor WiFi 6 AP with 6 spatial streams designed for mesh applications.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-outdoor/products/u6-mesh
U6-Mesh-Pro,U6 Mesh Pro,,WiFi,195.00,"Indoor/outdoor WiFi 6 AP with 4 spatial streams, an integrated super antenna, and a gigabit passthrough port.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-outdoor/products/u6-mesh-pro
U6-Extender,U6 Extender,,WiFi,142.00,Easy-to-deploy WiFi 6 coverage extender that fits a standard wall outlet.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-wall/products/u6-extender-eu
UAP-AC-M,AC Mesh,,WiFi,94.00,"Compact, indoor/outdoor WiFi 5 AP with 4 spatial streams and optional external antenna support for directional coverage.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-outdoor/products/uap-ac-mesh
UK-Ultra,Swiss Army Knife,,WiFi,79.00,"Incredibly compact, indoor/outdoor AP with versatile mounting options and long-range external antenna support.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-outdoor/products/uk-ultra
UWB-XG,WiFi BaseStation XG,,WiFi,1428.00,"Tri-radio WiFi 5 AP with 12 spatial streams and a selectable beamforming antenna, designed for high-density applications at large venues.",Non,Oui,https://eu.store.ui.com/eu/en/category/wifi-mega-capacity/products/uwb-xg
U6-IW,U6 In-Wall,,WiFi,169.00,Wall-mounted WiFi 6 AP with 6 spatial streams and a built-in 4‑port switch ideal for single-room coverage in hospitality environments.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-wall/products/u6-iw
UAP-AC-PRO,AC Pro,,WiFi,142.00,Ceiling-mounted WiFi 5 AP with 6 spatial streams designed for large offices.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-flagship/products/uap-ac-pro
UDB-Pro-Sector,Device Bridge Pro Sector,,WiFi,189.00,5 GHz point-to-multipoint access point that wirelessly bridges 50+ Device Bridge Pro clients at 5+ km distances.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-bridging/products/udb-pro-sector
UDB-Pro,Device Bridge Pro,,WiFi,189.00,5 GHz wireless bridge with PoE output that connects at 5+ km distances or seamlessly uplinks to UniFi WiFi.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-bridging/products/udb-pro
UDB,Device Bridge,,WiFi,95.00,"Plug-and-play, wireless bridging PoE adapter with integrated UniFi WiFi Auto-Link.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-bridging/products/udb
UDB-IoT,Device Bridge IoT,,WiFi,46.00,"Ultra-compact wireless bridge for IoT devices with integrated UniFi WiFi Auto-Link, versatile mounting options, and powered by USB Type-C or 4-pin DC socket.",Non,Oui,https://eu.store.ui.com/eu/en/category/wifi-bridging/products/udb-iot
UDB-Switch (35W),Device Bridge Switch,,WiFi,284.00,"Compact PoE+ switch* with (1) 10 GbE port, (7) 2.5 GbE ports, and 6 GHz-ready WiFi 7 bridging integration for seamless, high-capacity wireless uplink to UniFi WiFi.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-bridging/products/udb-switch
UBB-XG,Building Bridge XG,,WiFi,524.00,60 GHz wireless point-to-point bridge with a 10G SFP+ uplink for maximum performance and a 5 GHz backup radio.,Non,Oui,https://eu.store.ui.com/eu/en/category/wifi-bridging/products/ubb-xg
UBB-Single,Building Bridge,,WiFi,264.00,60 GHz wireless point-to-point bridge with a 5 GHz backup radio.,Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-bridging/products/ubb
U-AirWire,AirWire,,WiFi,179.00,"High-performance WiFi 7 client adapter with STR MLO, enabling simultaneous full-duplex links for ultra-low latency, extended range, and true multi-gigabit real-world speeds.",Oui,Non,https://eu.store.ui.com/eu/en/category/wifi-special-devices/products/u-airwire
UTR,UniFi Travel Router,,WiFi,70.00,"An ultra-slim travel router that instantly extends your UniFi Network wherever you are, bringing secure, familiar connectivity to remote locations.",Non,Oui,https://eu.store.ui.com/eu/en/category/wifi-special-devices/products/utr
UVC-G6-Pro-Turret-B,G6 Pro Turret,,Cameras & NVR,430.00,"All-weather tamper-resistant 4K PoE+ camera with a Multi-TOPS AI engine, 2.36x optical zoom, and a large 1/1.2"" CMOS sensor for exceptional low-light clarity and long-range IR night vision.",Oui,Non,https://eu.store.ui.com/eu/en/category/cameras-dome-turret/products/uvc-g6-pro-turret
UVC-G6-Pro-Dome-B,G6 Pro Dome,,Cameras & NVR,449.00,"All-weather vandal-proof 4K PoE+ camera with a Multi-TOPS AI engine, 2.36x optical zoom, and a large 1/1.2"" CMOS sensor for exceptional low-light clarity and long-range IR night vision.",Oui,Non,https://eu.store.ui.com/eu/en/category/cameras-dome-turret/products/uvc-g6-pro-dome
UVC-G6-Turret-B,G6 Turret,,Cameras & NVR,179.00,"All-weather, tamper-resistant 4K PoE camera with a 1/1.8"" 8MP image sensor, Multi-TOPS AI Engine, and 3-axis manual adjustment for flexible installation.",Oui,Non,https://eu.store.ui.com/eu/en/category/cameras-dome-turret/products/uvc-g6-turret
UVC-G6-Dome-B,G6 Dome,,Cameras & NVR,250.00,"All-weather, vandal-proof 4K PoE camera with a 1/1.8"" 8MP image sensor, Multi-TOPS AI Engine, and long-range IR night vision ideal for discreet installations in high-traffic areas.",Oui,Non,https://eu.store.ui.com/eu/en/category/cameras-dome-turret/products/uvc-g6-dome
UVC-G6-Pro-360-B,G6 Pro 360,,Cameras & NVR,449.00,"All-weather, vandal-resistant 12MP PoE camera with panoramic 360° coverage, digital pan-tilt-zoom functionality, and smart IR functionality.",Oui,Non,https://eu.store.ui.com/eu/en/category/cameras-dome-turret/products/uvc-g6-pro-360
UVC-G6-180-B,G6 180,,Cameras & NVR,269.00,"Indoor/outdoor dual sensor 16MP 20 FPS PoE+ camera, with a Multi-TOPS AI Engine and panoramic 180° coverage.",Oui,Non,https://eu.store.ui.com/eu/en/category/cameras-dome-turret/products/uvc-g6-180
UVC-AI-MS-4-B,AI Multi Sensor 4,,Cameras & NVR,1619.00,"All-weather PoE++ 32MP multi-sensor camera featuring a Multi-TOPS AI engine, 2.33× optical zoom, 360° IR coverage, and four independently adjustable lenses for seamless wide-area and close-up monitoring.",Oui,Non,https://eu.store.ui.com/eu/en/category/cameras-dome-turret/products/uvc-ai-ms-4
